X,Y,OBJECTID,CRSH_ID,DATE_VAL_Y,DATE_VAL_M,DATE_VAL_1,DATE_VAL_D,DAY_OF_WEE,DAY_OF_W_1,MILT_TIME,CASE_NUM,CRSH_TYPE_,CRASH_TYPE,CRSH_LEVL,PRIMARY_CA,PRIMARY__1,SECONDARY_,SECONDARY1,LATITUDE,LONGITUDE,StreetID
1450652.573356,546483.673356012,6096,1121801,2021,10,October,11,2,Monday,246,20211011024601,1,Ran off road right,1,30,Alcohol use,0, ,35.237584,-80.839883,
1448678.97148101,543088.090231001,6097,1283879,2024,12,December,28,7,Saturday,411,20241228041101,30,Angle,2,4,Disregarded traffic signals,0, ,35.228155,-80.84628,
1415143.715856,575652.716481,6098,1091204,2021,4,April,14,4,Wednesday,2053,20210414205302,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.315848,-80.960709,
1480171.463356,557922.884606004,6099,2244269,2023,11,November,3,6,Friday,419,20231103161903,14,Pedestrian,1,19,Failed to yield right of way,0, ,35.270473,-80.741711,
1451718.18960601,552925.813981012,6100,1171084,2022,8,August,22,2,Monday,45,20220822004504,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.255336,-80.836714,
1440054.367731,555012.777106002,6101,1222979,2023,8,August,14,2,Monday,951,20230814095101,30,Angle,2,19,Failed to yield right of way,0, ,35.26047,-80.87591,
1501164.00023101,534962.118981004,6102,1275205,2024,10,October,17,5,Thursday,2159,20241017215900,23,"Left turn, same roadway",2,4,Disregarded traffic signals,0,None (no unusual conditions),35.208385,-80.670094,
1467658.58460601,536842.101481006,6103,1128488,2021,12,December,15,4,Wednesday,1627,20211215162705,23,"Left turn, same roadway",2,9,Improper turn,0, ,35.211949,-80.782359,
1481699.31148101,553435.989606008,6104,1074579,2021,2,February,3,4,Wednesday,857,20210203085701,27,Head on,2,5,Disregarded road markings,0, ,35.25822,-80.73633,
1467399.21023101,553640.085231006,6105,1180458,2022,11,November,1,3,Tuesday,718,20221101071802,24,"Left turn, different roadways",1,19,Failed to yield right of way,0, ,35.258084,-80.784238,
1482427.775231,515955.368981004,6106,1108168,2020,7,July,18,7,Saturday,2305,20200718230500,27,Head on,1,30,Alcohol use,0, ,35.155286,-80.7317,
1464936.92710601,567522.180856004,6107,1090647,2021,4,April,20,3,Tuesday,1808,20210420180900,23,"Left turn, same roadway",2,4,Disregarded traffic signals,0,None (no unusual conditions),35.296099,-80.793325,
1468297.81898101,540019.657731012,6108,1123106,2021,10,October,23,7,Saturday,453,20211023045302,27,Head on,1,11,Crossed centerline/going wrong way,0, ,35.22071,-80.78041,
1451007.105856,575058.465231001,6109,1183935,2022,12,December,2,6,Friday,1123,20221202112301,1,Ran off road right,1,33,Unable to determine,0, ,35.316102,-80.84047,
1452848.86335601,539367.115231007,6110,1249283,2024,3,March,16,7,Saturday,134,20240316013400,1,Ran off road right,2,30,Alcohol use,0, ,35.218145,-80.832089,
1460210.95773101,559511.660231009,6111,1126615,2021,11,November,24,4,Wednesday,1735,20211124173502,27,Head on,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.273857,-80.808672,
1458565.74148101,513539.873981014,6112,1267348,2024,8,August,15,5,Thursday,1504,20240815150403,24,"Left turn, different roadways",1,34,Unknown,0, ,35.14748,-80.811373,
1460433.05398101,521440.720231012,6113,1015232,2020,4,April,18,7,Saturday,2112,20200418211202,1,Ran off road right,2,6,Exceeded authorized speed limit,0, ,35.169279,-80.805608,
1440231.09898101,536511.168981001,6114,1032899,2020,7,July,16,5,Thursday,1832,20200716183202,1,Ran off road right,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.209652,-80.874148,
